-0.000000000000000000e+00,2.379291460325857199e-01,0.000000000000000000e+00,9.702861862753261457e-01
2.379291460325857199e-01,6.993981056178981692e-01,9.702861862753261457e-01,1.801736161471964248e+00
6.993981056178981692e-01,1.358197094992896314e+00,1.801736161471964248e+00,2.541404494245464107e+00
1.358197094992896314e+00,1.158117129857515915e+00,2.541404494245464107e+00,3.512934849518888569e+00
1.158117129857515915e+00,1.292706499866114411e+00,3.512934849518888569e+00,4.478419683773413595e+00
1.292706499866114411e+00,1.859018340514467127e+00,4.478419683773413595e+00,5.277496814117513146e+00
1.859018340514467127e+00,2.389558801749475325e+00,5.277496814117513146e+00,6.050018694498887406e+00
2.389558801749475325e+00,2.617008072603302704e+00,6.050018694498887406e+00,7.020734674598215541e+00
2.617008072603302704e+00,2.941880444556953744e+00,7.020734674598215541e+00,7.966096210872128047e+00
2.941880444556953744e+00,3.246129866432571287e+00,7.966096210872128047e+00,8.918586178217376315e+00
